NO,JARINGAN PENGAMATAN,NO STASIUN,LINTANG,BUJUR,DESA,KECAMATAN,KAB/KOTA,PROVINSI,JARINGAN
5360,Pos Hujan,11120101a,3.71584,96.86069,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5361,Pos Hujan,11120201a,3.66756,96.90368,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5362,Pos Hujan,11120301a,3.62,96.93,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5363,Pos Hujan,11120401a,3.73,96.83,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5364,Pos Hujan,11120501a,3.84598,96.74434,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5365,Pos Hujan,11120601a,3.90206,96.69744,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5366,Pos Hujan,11120901a,3.62793,96.94773,,,Kab. Aceh Barat Daya,Nanggroe Aceh Darussalam,PHOBS
5367,Pos Hujan,11130101a,3.945,97.371,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5368,Pos Hujan,11130201a,4.018,97.28,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5369,Pos Hujan,11130301a,4.082,97.29,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5370,Pos Hujan,11130401a,4.05492,97.07628,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5371,Pos Hujan,11130501a,4.09,97.58,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5372,Pos Hujan,11130901a,4.0,97.31,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5373,Pos Hujan,11131101a,4.18,97.2,,,Kab. Gayo Lues,Nanggroe Aceh Darussalam,PHOBS
5374,Pos Hujan,11140101a,4.47508,95.79156,,,Kab. Aceh Jaya,Nanggroe Aceh Darussalam,PHOBS
5375,Pos Hujan,11140201a,4.58689,95.66125,,,Kab. Aceh Jaya,Nanggroe Aceh Darussalam,PHOBS
5376,Pos Hujan,11140202a,4.86247,95.8514,,,Kab. Aceh Jaya,Nanggroe Aceh Darussalam,PHOBS
5377,Pos Hujan,11140301a,4.67125,95.54507,,,Kab. Aceh Jaya,Nanggroe Aceh Darussalam,PHOBS
5378,Pos Hujan,11100901a,2.43,97.82,,,Kab. Aceh Singkil,Nanggroe Aceh Darussalam,PHOBS
5379,Pos Hujan,11140401a,4.87,95.45,,,Kab. Aceh Jaya,Nanggroe Aceh Darussalam,PHOBS
5380,Pos Hujan,12060903a,3.057,98.119,,,Kab. Karo,Sumatera Utara,PHOBS
5381,Pos Hujan,12061001a,3.218,97.983,,,Kab. Karo,Sumatera Utara,PHOBS
5382,Pos Hujan,12061201a,3.13,98.43,,,Kab. Karo,Sumatera Utara,PHOBS
5383,Pos Hujan,12061301a,3.151,98.28,,,Kab. Karo,Sumatera Utara,PHOBS
5384,Pos Hujan,12061302a,3.198,98.263,,,Kab. Karo,Sumatera Utara,PHOBS
5385,Pos Hujan,12061701a,3.128,98.324,,,Kab. Karo,Sumatera Utara,PHOBS
5386,Pos Hujan,12070101a,3.12,98.68,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
5387,Pos Hujan,12070201a,3.552,98.83,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
5388,Pos Hujan,12070202a,3.492,98.79,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
5389,Pos Hujan,12070301a,3.256,98.536,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
5390,Pos Hujan,12070501a,3.507,98.58,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
5391,Pos Hujan,12070502a,3.5,98.564,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
5392,Pos Hujan,12070701a,3.4,98.68,,,Kab. Deli Serdang,Sumatera Utara,PHOBS
